,compSize,skill,experience,education,salary
422,2000.0,4,4.0,2,15.0
423,2000.0,0,4.0,2,15.5
424,32.5,10,7.5,2,12.0
425,2000.0,3,4.0,2,18.5
426,325.0,5,7.5,2,20.0
427,325.0,2,7.5,2,25.0
428,100.0,6,4.0,2,30.0
429,2000.0,8,7.5,1,21.5
430,1250.0,5,2.0,2,12.5
431,2000.0,8,4.0,2,22.0
432,2000.0,5,4.0,2,12.0
433,100.0,7,10.0,2,30.0
434,1250.0,9,4.0,1,12.0
435,2000.0,5,2.0,2,10.0
436,1250.0,3,4.0,2,19.5
437,325.0,7,4.0,2,22.5
438,1250.0,3,4.0,2,15.0
439,2000.0,10,2.0,2,15.0
440,325.0,27,0.0,1,11.5
441,2000.0,15,4.0,2,22.5
442,32.5,2,4.0,2,15.0
443,100.0,4,4.0,2,22.5
444,1250.0,11,4.0,2,21.5
445,325.0,8,4.0,2,18.5
446,325.0,15,4.0,2,18.0
447,1250.0,13,2.0,2,8.5
448,2000.0,9,4.0,0,30.0
449,1250.0,2,7.5,2,32.5
450,325.0,7,4.0,2,22.5
451,32.5,14,7.5,1,11.5
452,32.5,1,2.0,2,11.0
453,32.5,4,4.0,2,8.0
454,100.0,8,4.0,2,15.0
455,325.0,0,4.0,1,8.5
456,32.5,6,4.0,2,26.5
457,2000.0,8,7.5,2,21.5
458,1250.0,7,4.0,2,20.0
459,100.0,3,4.0,2,20.0
460,325.0,5,4.0,2,15.0
461,2000.0,12,4.0,2,19.0
462,325.0,13,7.5,2,12.5
463,1250.0,5,4.0,1,15.0
464,1250.0,5,4.0,2,15.0
465,1250.0,5,4.0,2,17.0
466,1250.0,6,4.0,2,25.0
467,325.0,6,4.0,2,17.5
468,32.5,8,4.0,2,15.0
469,2000.0,10,4.0,1,13.5
470,1250.0,6,2.0,2,14.0
471,2000.0,10,4.0,2,30.0
472,1250.0,14,2.0,2,17.5
473,32.5,8,4.0,2,12.5
474,2000.0,8,4.0,2,30.0
475,325.0,14,4.0,2,20.0
476,32.5,11,4.0,2,20.0
477,1250.0,9,2.0,2,7.0
478,100.0,6,4.0,2,25.0
479,100.0,6,2.0,2,12.5
480,2000.0,16,4.0,1,13.0
481,325.0,6,4.0,2,22.5
482,2000.0,8,4.0,1,11.5
483,325.0,4,2.0,2,11.5
484,1250.0,13,4.0,2,16.5
485,325.0,5,4.0,2,16.0
486,1250.0,10,7.5,2,23.0
487,325.0,7,7.5,2,21.5
488,2000.0,10,2.0,2,7.5
489,1250.0,0,4.0,2,17.5
490,2000.0,13,4.0,2,16.0
491,32.5,11,4.0,2,15.0
492,1250.0,7,2.0,1,8.0
493,15.0,5,4.0,2,22.5
494,1250.0,6,4.0,0,17.5
495,2000.0,7,4.0,2,12.0
496,2000.0,7,4.0,2,26.5
497,1250.0,8,4.0,2,22.5
498,325.0,5,4.0,2,15.0
499,325.0,7,4.0,2,12.5
500,325.0,6,7.5,2,20.0
501,1250.0,3,4.0,2,21.5
502,325.0,7,7.5,2,30.0
503,100.0,6,4.0,2,11.5
504,32.5,7,4.0,2,8.0
505,325.0,7,4.0,2,22.5
506,32.5,9,2.0,2,17.5
507,325.0,13,7.5,2,22.5
508,100.0,4,2.0,2,18.0
509,2000.0,3,0.0,2,30.0
510,325.0,4,2.0,2,22.5
511,325.0,12,4.0,2,20.0
512,100.0,11,4.0,2,15.0
513,100.0,10,4.0,1,11.5
514,15.0,3,0.0,2,30.0
515,2000.0,7,4.0,2,16.5
516,1250.0,0,4.0,1,11.5
517,1250.0,6,4.0,2,14.0
518,2000.0,6,7.5,2,26.5
519,325.0,13,2.0,1,15.0
520,100.0,5,4.0,2,22.5
521,32.5,6,4.0,2,22.5
522,100.0,4,4.0,2,20.0
523,1250.0,2,4.0,2,25.0
524,100.0,10,4.0,2,16.0
525,2000.0,13,7.5,2,26.5
526,325.0,8,4.0,2,19.0
527,325.0,7,4.0,2,20.0
528,2000.0,9,7.5,0,20.0
529,2000.0,3,4.0,2,22.5
530,325.0,1,7.5,2,15.0
531,2000.0,2,7.5,2,18.5
532,325.0,8,4.0,2,17.5
533,2000.0,5,7.5,2,19.0
534,32.5,7,4.0,2,22.5
535,2000.0,6,7.5,2,22.5
536,100.0,8,4.0,2,19.0
537,2000.0,12,7.5,2,27.5
538,100.0,0,4.0,0,19.0
539,2000.0,7,4.0,2,40.0
540,2000.0,6,4.0,2,30.0
541,2000.0,2,4.0,1,12.0
542,325.0,7,4.0,2,13.0
543,100.0,5,7.5,2,26.5
544,100.0,6,4.0,2,24.0
545,1250.0,3,0.0,0,22.5
546,1250.0,9,4.0,2,20.0
547,325.0,6,7.5,1,13.5
548,100.0,11,2.0,2,12.0
549,2000.0,7,7.5,2,20.0
550,325.0,5,4.0,2,22.5
551,32.5,1,4.0,2,11.5
